Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
KP 113,"no image, but borrowed a student's adapter and it worked",1,0
KP 113,image dropped,1,1
HS 610,alex testing,0,0
UC A101,"touchscreen black, logged on remotely, but no effect in room. prof also reporting a bunch of extra furniture in the room",0,1
BR 200,"""well we're trying to log in, but my teaching associate is helping me""",0,0
WI 524,"""i am having trouble getting my image up""",0,0
WI 524,"sounds like a fire alarm is going off, what should we do? ",0,0
NL 6,can't login,0,0
MY 420,"they say they're having trouble getting their image up. i'm having trouble understanding them with all the noise in the room, can you send someone? might be a simple fix",0,1
MY 440,no image,0,0
MY 420,"calling back to say ""it's working now""",0,0
SS 1078,the main screen doesn't have the right image,0,0
MC 252,"""can you please send fresh batteries""",0,0
LM 155,projector not turning on,0,0
OI 5170,log in request,0,0
UC 87,reporting that the display port adapter not working in this room. have their own and it worked. thought we should know.,1,0
BA 2145,log in request,0,0
OI 5170,wanted to know how to use the mic,0,0
OI 3310,calling about being locked out of oi 5280 and looking for assistance,0,1
RL 14190,no image,0,0
MP 102,projector issue,0,0
WI 523,blue screen,0,1
OI 10200,need help setting up. they said there is usually an av person there to help right at 6pm each time,0,1
OI 2212,letting us know the shut down screen has been on a really long time would hate for the next prof to have to deal with this,0,0
BF 215,black screen,0,1
OI 5170,no reponse,0,0
SK 720,ian c test call,0,0
MY 317,overnight,0,0
SK 702,needs adapter for surface,0,1
OI 4422,room audio buzzing ,1,1
MS 2170,batteries,0,1
MC 252,"no image, tried both hdmi's ipad",0,1
OI 2279,"""enable station please""",0,0
CR 403,jr station wouldn't switch sources,0,0
HS 610,projector image displaying blurry/out of focus,1,1
OI 5150,image not sending to projector,0,0
VC 323,first time using class and needs help,0,0
LM 155,no image sending,0,0
SS 2118,hdmi not sending ,0,1
GB 244,projector not displaying image.,0,0
UC 256,projector is not turning on,0,0
SK 114,image dropped....but returned mid-call,0,0
AH 100,needs batteries,0,1
BA 1160,enable,0,0
MY 360B,login,0,0
MS 2170,needs batteries,0,0
MY 430,enable,0,0
BL 112,no image - support through intercom seemed to be stressful so sent tech,0,1
MS 3153,"""wireless mic isn't working""",0,1
HA 403,remote missing,0,0
WB 119,image not connecting,0,0
AH 100,already solved,0,0
AH 100,no sound sending,0,0
BL 116,not powering up,0,0
MS 3154,"no image, unfamiliar with ts",0,1
WO 25,projector not turning on,0,1
SS 1088,already solved,0,0
BL 114,image not sending to projector,0,0
OI 2212,ts frozen on previous log off,0,1
SS 581,tv not turning on,0,0
SS 2102,no wifi in room,0,0
MS 3154,following up on help,0,0
PB B250,no wifi,0,0
SK 114,hdmi not turning on,0,0
SK 114,still not working,0,1
SK 114,following up on help,0,0
SS 2101,image not sending to projector,0,1
OI 4422,a few monitors aren't turning on. ,0,1
SS 1083,teaching station not turning on ,1,1
OI 2214,projector turning off and on,0,0
UC 65,image not displaying,0,0
HS 715,"""turn my tv on please""",0,0
BF 323,login,0,0
LM 155,projector not turning on,0,0
CR 403,projector not turning on,0,0
MB 128,batteries,0,1
MR 06,tm e crash,0,0
OI 5250,batteries needed for handheld mic,0,1
UC 85,beeping sound coming out of speakers,0,1
MP 102,"no image on preview screen (hdmi 1, 2 and room pc)",0,1
BA 1240,how to lower projector screen,0,0
OI 2214,no image sending to projector,0,0
OI 5160,needed help connecting,0,1
AB 107,wasn't sure how to get projector working,0,0
MY 150,can't connect to air media,0,1
SS 2127,black screen happening,0,1
UC 85,reme asking to boot up the podium,0,0
GB 120,"""check input terminal"" msg on their screen",0,0
UC 261,log in request,0,0
SS 2127,says the podium is broken because it wasn't turning off,0,0
MS 2173,can't log in and need to put a clock on the projector for an exam. hasn't used a teaching statino before.,0,0
MS 3153,cannot find the send to projector button - both screens are blue,0,0
PB B250,mouse isn't working,0,0
NF 003,no macbook image on either hdmi source. room pc sends fine.,0,1
MY 380,my 380 one of the student displays shows no input. prof tried hdmi 1 and 2 on the tv,0,1
WB 116,room pc is showing a black preview screen even after restarting the pc and verifying it's on. room pc shows on the projector.,0,1
MS 4279,turn on teaching dock,0,0
BF 316,disregard,0,0
MR 6,"operator kept ringing, but wouldn't pick up the call.",0,0
WB 119,ta log in,0,0
BR 200,touchscreen is off.,0,0
OI 2279,please restart room,0,0
OI 2279,projector turned off,0,0
OI 11200,projector turned off,0,0
OI 10200,oi 10204 (intercom not working - known issue) projector turned off,0,0
OI 2279,projector turned off,0,0
OI 8180,how to turn on projector.,0,0
SS 2110,can't get projector to turn on,0,0
OI 5290,tdm disabled on its own.,0,0
OI 3310,tdm disabled on its own.,0,0
OI 2205,tdm disabled on its own.,0,0
BA 2139,how to turn on the projector.,0,1
OI 2110,projector wont turn on,0,0
BA 2139,they got it working.,0,0
SS 1087,log in,0,0
SS 2106,multiple users are having wifi issues,1,0
MS 2158,"when he goes into presentation mode, there is a severe ""lag"". pressing the arrow keys or his clicker doesn't produce a response for 10-30 seconds.

called from (647) 270-2513 ",1,0
MY 420,my 420 one of the student displays isn't working.,0,0
SK 702,power for projector just turned off,0,0
SK 702,i think it's working now thank you,0,0
SS 1074,projector turned off,0,0
OI 4420,projector won't turn on,0,0
MY 360,log in ,0,0
BA 2165,left a charger in the room,0,0
SS 2125,tsjr disabled on its own.,0,0
UC 85,persistent beeping from the speakers.,1,1
OI 2289,tsjr disabled on its own.,0,0
LM 162, log in,0,0
BL 325,resolved.,0,0
HS 614,"the projector just turned off, can you turn it back on please?",0,0
BR 200,utorid credentials lost access.,0,0
MR 6,tm restart,0,0
OI 5260,teaching station turned off on its own.,0,0
BA 2165,wanted phone number for f&s,0,0
OI 5170,can't see image on projector,0,0
SK 418,teaching station turned off on its own.,0,0
ES B149,"can't get audio over hdmi. speaker output set to crestron, all volumes unmuted and turned up. class is over and wants to troubleshoot the issue before the next class.",1,0
WW 119,dvd not playing/loading correctly,0,1
SS 1087,ss 1087 is not seeing room pc on preview screen,0,1
SK 114,projector,0,0
GB 244,source audio is coming from their laptop.,0,1
UC 67,can't get a macbook image. tried everything including turning the station off and on again.,0,1
MY 480,my 480 two of the student displays aren't working,0,1
GB 248,log in request,0,0
OI 8201,log in request,0,0
SK 100,log in request,0,0
SK 218,activate teaching station,0,0
OI 5230,log in request,0,0
UC 67,lost projector,0,0
OI 3310,trouble logging onto the internet,0,1
SF 1101,log in,0,0
MY 440,"""screen is frozen and unresponsive"" ",0,1
SS 2119,image is intermittent with audio pops ,0,0
WB 130,log in request,0,0
BA 2159,log in request,0,0
RL 14190,screen turned off,0,0
BA 2159,log in request,0,1
OI 2214,blue screen,0,1
OI 7192,projector,0,0
MY 440,"screen ""died"" again",0,1
WO 35,log in request,0,0
BL 313,blank screen ,0,1
MY 360B,wasn't getting anything projected,0,0
BA 2155,"""i was wondering if you could unlock the microphone cabinet - i'd like to see if there are additional hdmi cables in there""",1,0
MB 128,projector not turning on,0,1
BT 101,"instructor says projector isn't coming on, complains this is the third week in a row that's happened.

says the previous two weeks, gopi brought a portable projector and set it up

wants this problem to stop happening. it's an art history course, he needs to use the projector.",1,1
OI 8170,"students relaying messages from the instructor: ""the image isn't coming up on the big screen, it's glitching and clicking - there are both video and audio issues""",0,0
OI 8170,"projector just lost image, it went to a blue screen",1,1
SS 1080,amy testing....still not working. will need to re-test once class is free. ,1,0
SS 1072,amy arrived right when she called in,0,0
SS 1074,amy trying to test intercom with mike (continuation of previous conversation between them),0,0
MP 137,"trying to run zoom, but is having problems with web cam",0,1
UC A101,"wifi not working for insructor. asked whether it was working for others in room. she said yes, so we decided to reboot her computer. that got wifi working again.

then she had trouble getting her image up from laptop. tried a few things, but had trouble troubleshooting remotely because my station can't access uc a101 xpanel.

handed her off to mike, who has a working xpanel for that room. also sent steve to room.",0,1
SS 1070,amy testing,1,0
MY 420,"just lost power to podium - says touchscreen stopped working, says other elements of podium lost power

tvs appear to still be on",1,1
ES 1050,login,0,0
MY 440,"want to use the student tables, but they seem disconnected",0,1
GB 120,"instructor says room pc is frozen, instructor sounds like he knows what he's doing, he says pc is not user-accessible

can we send someone to the room to unlock the cabinet & do a reboot?",0,1
WW 121,"""hi, i've plugged in my hdmi cable, and i've sent it to projector, but the projector isn't coming on""",0,0
CH,"says she can't switch slides back properly, can't find  technician",0,0
UC A101,image dropped,0,0
MP 137,"saying they are done, and we can come pick up gear",0,0
CH,"calling back, says ""technician still hasn't arrived""",0,1
OI 8280,projector not turning on,0,0
GB 304,"""hi, i'm trying to log in to do a tutorial, and i can't log in""",0,0
SS 1074,how can i get my video to play out the speakers in the room?,0,0
GB 304,how can i lower the projector image?,0,0
HS 705,"can you turn on the projector please?

instructor says projector isn't coming on in the room.

roomview told me projector was already on, when she called

but instructor said she can't see any light coming out of projector. and no beep, like she usually hears when it's turning on or off
",1,1
WW 121,projector not turning off - ts controls not working,0,1
SS 1080,"able to hear me now, but super low",1,1
ES 1050,logged off and forgot to put mic away,0,0
SS 2101,colours are all off - image green,0,1
RW 143,can't control the pc,0,0
BL 507,thunderbolt adapter is missing,0,1
UC 63,want to use the provided stylus on the display,0,1
UC 161,"""hi can you hook me into the system please""",0,0
BA 1220,"login failed, admin 12345678",0,0
BA B026,"can't get ipad image up, tried typical ipad troubleshooting from kb, didn't work",1,1
UC 144,"no image, don't want remote support",0,1
,having problem booking room (not a/v),0,0
MY 350,"wants to know if we can turn off the setting where all of the screens turn off in the room every ten minutes. also, please bring a usb-c adapter in an hour. ",1,1
SF 1105,"""i have never seen this error message before - can you restart it?""",0,0
BL 313,"no image, not too interested in restarting and wants someone to come up",0,1
SS 2110,"""we're having the usual technical difficulties"". tried remotely disabling & reenabling via roomview. it showed up as coming on, but failed to come on in room.",0,1
LM 158,"""the projectors say they're both shutting down""",0,0
BA 2155,requesting 2x usb-c to hdmi adapters,0,1
MY 350,no image. ,0,0
MY 330,"""hi can you log into the system for me""",0,0
MY 330,"they need an adapter that works with a mac (they've had to ask for it before, apparently), plus an hdmi cable (i don't quite understand what that request is for, but they seem certain)",0,1
BA 2179,black screen,0,0
MY 490,login,0,0
SS 1069,log in request,0,0
MY 330,"borrowed an adapter and hdmi cable, was asking if he could leave it in room when done",1,0
MC 254,room pc was not showing,0,0
MY 350,no image,0,0
UC 175,already solved,0,0
LM 159,needs batteries for lapel mic or wireless mic,0,1
BA 1210,blue screen,0,1
BF 215,matt testing intercom,0,0
LM 159,following up on batteries,0,0
OI 8201,not projecting,0,0
GB 221,not projecting,0,0
MY 350,all black screens,0,1
SS 2117,wanted to know if they can use the mics if they didn't book the room,0,0
MY 490,wasn't projecting,0,1
MY 490 ,called in to tell us they got it working,0,0
BL 325,not projecting,1,0
OI 7192,after hours,0,0
UC 140,after hours,0,0
OI 5280,wants an in-person assist to get zoom going.,0,1
SF 3202,log in,0,0
MY 430,needs help moving the room dividers.,0,0
MC 254,can't find wireless microphone,0,0
MC 254,doesn't work,0,0
MY 430,usb-c dongle in the room doesn't work.,1,1
SK 418,projector,0,0
OI 11200,wants assistance with oi 11164 (non-lsm room) and there's a burning smell in that room.,0,0
OI C154,needs displayport adapter,0,1
OI 5230,no image on projector,0,0
OI 8214,mini dp dongle.,0,1
SF 1101,crestron screen is black,1,1
PB B150,figured it out.,0,0
SS 1070,can't turn on the projector.,0,0
OI 11204,how to get their laptop image on the projector.,0,0
MR 6 ,tm restart,0,0
EM 001,how to use the microphones.,0,0
OI 2212,rechargeable battery needs replacing,0,1
OI 11204,figured it out.,0,0
MS 2158,has an assist for 11:00 and wants the technician there earlier. called from (647) 270-2513,0,0
HS 108,zoom audio echo issue. same issue as last week,1,0
WB 130,ta login.,0,0
PB B250,mic battery died,0,1
MY 330,whiteboard marker in the room doesn't work.,0,1
MY 315,need a marker,0,1
GB 244,no image on projector,0,0
UC 140,room is not big enough for the amount of students.,0,0
BA 1190,log in,0,0
BA 1170,"mouse, keyboard, and recording weren't working. same thing was happening last week. class is over now.",1,0
MY 360B,log in,0,0
LM 161,log in,0,0
SK 720,hdmi connection,0,0
WO 25,resolved,0,0
UC 261,projector isn't turning on.,0,0
SF 2202,fixed the issue themselves.,0,0
OI 8280,enable.,0,0
OI 4416,older laptop. needs adapter,0,1
MY 350,room pc not showing up on the preview or tv displays.,0,1
SS 1074,projector isn't turning on.,0,0
WB 119,log in,0,0
SF 3201,missing 1 hdmi cable for the student tables.,0,1
WW 126,touch screen keyboard difficulties,1,0
OI 8280,"""re-initialize the station""",0,0
BL 325,no hdmi image with usb-c dongle.,0,0
SS 2118,2117 and 2118 booked but no credentials,0,0
UC 140,can't hear zoom participants.,0,0
ES B142,"andy allen got a call from (647) 996-5662 reporting the hdmi cable in ""es 1042"" wasn't producing an image for the user's laptop.",0,1
BA 1170,keyboard needs aaa batteries,0,1
MY 317,don't need anything.,0,0
MY 320,hdmi cable is missing,0,0
OI 8180,dongle borrowed from this morning is ready for pick up,1,0
MY 360B,only one student display was on,0,0
BA 1170,touchscreen doesn't respond to any touch.,1,1
GB 248,ta in next week. wanted to know how to log into the teaching station,0,0
MR 6,picked up a call on tm w and it was stolen by tm e.,0,0
BA 2155,(c) booking wants a login.,0,0
BA 1240,(c) booking wants a login.,0,0
BA 2155,(c) booking wants a login,0,0
MP 102,how do you send the picture to the main screen?,0,0
BA 2145,enable?  ,0,0
BA 2155,(c) booking wants a login,0,0
BA 2135,(c) booking wants a login,0,0
SF 1105,no answer,0,0
SS 2118,no answer,0,0
SS 2118,pls enable 2117/2118,0,0
SS 2104,system not working,0,0
SS 2117,how do you route the sound from my computer to the projector,0,0
SS 2117,no sound still,0,0
MY 150,enable,0,0
MY 150,no sound from laptop,0,0
BA 2179,no sound in room,0,0
MY 420,no answer,0,0
KP 108,how do you work this system?,0,0
BA 2165,touchscreen not working,0,0
MY 480,enable,0,0
BA 1130,touchscreen not working,"Didn't know what they were doing, touchscreen fine, just needed ",0
BA 1130,no audio,wrong output on desktop PC,0
HS 614,projector,0,0
OI 2279,can you turn the projector on? ,0,0
OI 8280,enable,0,0
OI 2279,green light but no image,0,0
BA 1170,mic batteries,0,1
MY 480,rooms booked today for experiments,0,0
ES B142,log in,0,0
WB 116,jon testing,0,0
SF 1105,jon testing,0,0
SF 1105,jon testing,0,0
MC 252,victor testing,0,0
SS 2116,client testing for 1800 meeting,0,0
GB 120,jon testing,0,0
GB 120,jon testing,0,0
OI 5280,station isn't working,0,0
BA 2175,authentication failing,0,0
GB 221,jon testing,0,0
GB 220,victor testing,0,0
MR 6,tm e crash,0,0
OI 5160,not projecting,0,1
OI 11200,couldn't get an image,0,0
OI 5270,power on request,0,0
UC 163,repeatedly said they were struggling with something but never said what. i asked if they needed tech support they didn't reply,0,0
OI 4414,power button not working,0,0
MY 420,resolved,0,0
MC 252,victor testing,0,0
MC 254,jon testing,0,0
MC 254,jon testing,0,0
SF 1101,jon testing,0,0
SF 1101,jon testing,0,0
SF 3202,jon testing,0,0
GB 248,jon testing,0,0
GB 244,victor testing,0,0
OI 2214,james thompson school of continued studies calling to confirm assist for 1300-1500,0,0
MC 254,several calls from jon to test the intercom; won't even ring (doesn't show up on tm app),1,0
MC 252,victor testing,0,0
MC 254,jon testing (call finally came in),0,0
SS 2118,alex r. testing,0,0
MS 2158,need ts walkthrough,0,0
BA 1230,"""hit the wrong button""",0,0
MS 3278,"obadiah george, confirming assist ms 3278 march thu 2nd 1400-1600 zoom guest, sound bar etc.",0,0
SS 2120,login,0,0
SF 1105,jon testing,0,0
OI 2212,lost remote access of this room due to ie being discontinued. they need a login/help,0,1
SS 2118,matt - screens outages in ss 2117 and 2118. asked me to check av log to see if rooms are in use tonight/tomorrow,0,0
OI 8280,no audio from laptop. crestron/hdmi not showing up in audio output menu. os ventura,1,0
OI 2205,computer not showing ,0,0
BA B024,wanted to get access to podium without a booking,0,0
OI 8220,screen wasn't showing ,0,0
BA 1200,log in request,0,0
OI 3310,not powered on,0,0
OI 5260,no power on station,0,0
MC 102,out of hours call,0,0
OI 8280,kyle asking for station to be enabled,0,0
CH ,albert testing,0,0
SS 1085,login - utorid not working,0,0
SS 1073,login - utorid not working,0,0
BA 2179,can't get an image,1,1
SK 720,enable for kyle,0,0
SS 2127,enable for kyle,0,0
SS 2135,login - utorid not working,0,0
BA 2179,asking if help is still on the way,0,0
SS 2118,login - utorid not working,0,0
BA 1210,jon testing,0,0
SS 2101,enable for kyle,0,0
SS 2110,source audio in room too loud,0,1
BA 1130,jon testing,0,0
SS 2106,no audio,0,1
BA B024,jon testing,0,0
BA 2135,jon testing,0,0
BA 1180,login - utorid not working,0,0
RW 140,"""we're just working in here, sorry!""",0,0
BA 1200,victor testing,0,0
BA 1160,noticed that ba 1160 intercom is disconnected. fusion & roomview are still connected.,1,0
SS 2105    ,alex testing,0,0
BA 1160,intercom re-connected ,0,0
HS 610,"touchscreen frozen, completely offline from talkmaster end",0,1
SS 2118,somebody named jay looking for amy (came in as an external phone call),0,0
GB 119,projector not working,0,0
OI 5170,needed to lower projection screen,0,0
MY 320,"login my 320, my 330, my 360, my 370, my and 440 for (a) booking.",0,0
SS 2117,(c) booking with av boooking login.,0,0
PB B150,"door to the room is locked. they have fob access, but students won't.",0,0
BA 1190,testing for class next week,0,0
SS 2117,calling about ss 2117 intercom not work and needed to be logged in to ss 2117. intercom in ss 2117 is fine on this end. (buzzed in from ss 2119),1,0
WI 524,no answer,0,0
BA 2185,how do i project?,0,0
BA 2185,enable for ba 2165/ 2175/ 2185/2195,0,0
BA 2195,how do you put the screen down?,0,0
SS 2102,enable,0,0
MY 315,enable,0,0
SS 2111,enable,0,0
SS 2125,enable,0,0
BA 1130,microphone not working,0,0
BA 2155,no answer,0,0
BR 200,after hours,0,0
BA 2165,could not get image on screen,0,1
SS 2117,matthew testing,0,0
BA 2159,enable,0,0
NF 003,wanted to know how to go full screen in acrobat,0,0
BA 2145,wanted to send audio to the room,0,0
CR 403,en,0,0
BA 1160,"laptop sending to podium, but not sending to projector",0,1
MS 2158,needs batteries,0,1
HS 108,enable,0,0
SS 1085,admin login required to log in to pc,0,0
CR 103,enable,0,1
GB 304,enable,0,0
OI 2211,audio issues,0,1
TF 200,enable,0,0
MP 203,will need batteries (on last set),1,0
GB 119,"not getting a display, tried fusion as well",0,1
WE 75,enable,0,0
WW 121,projector not turning on,1,0
WW 121,no audio from computer,0,0
MS 2173,can't log in,0,1
BA 2145,question about multiple displays,0,0
BL 114,hdmi cable is glitching,1,0
SS 2120,enable,0,0
AP 120,lav batteries are dead,0,1
MP 203,needs batteries,0,1
MY 330,needs markers,0,0
BA 2195,enable,0,0
CR 103,station asleep,0,0
CR 103,calling again - no signs of life from jr station panel or projector,0,1
MY 320,didnt know how to connect to station,0,0
GB 304,enable,0,0
MC 254,usb c adapter isn't working with laptop,1,1
MS 3154,no answer,0,0
LM 161,en,0,0
CR 103,same issue with power,0,1
BA 2155,"no display, tried changing sources but nothing",1,1
BA 1170,"touchscreen freezing, ext mic port not responding",1,0
GB 221,"""none of the microphones in this room are working""",1,1
BL 205,en,0,0
UC 140,audio not sending to room,0,0
UC 140,letting me know audio still isn't working,0,1
BA 2195,no display,0,0
BA 1130,ppt sending to wrong screen,0,0
MP 202,front projector won't turn on,0,1
MP 102,batteries,0,1
BT 101,no display,0,1
MC 254,laptop not connecting to podium,0,1
BA 1160,mouse not working,0,0
MR 6,tm e crash,0,0
CR 103,albert calling / testing,0,0
PB B150,letting me know usb-c to hdmi adapter isn't working,1,0
BA 2155,"""microphone cabinet unlock button doesn't work""",0,1
TF 201,projector is not working - prof attempted to power it on via panel and apparently manually by pressing the power button on the projector itself and said it did not power on.,0,1
BA 2145,no reply,0,0
BA 2145,"""it all fixed itself thank you""",0,0
MS 2170,enable,0,0
SF 1101,wireless missing,0,1
MY 360,"no display, tried switching displays",0,1
MS 3153,wireless mic not sending to room,0,1
MY 420,"projector shut off, told us they were having issues earlier due to it over heating",0,0
BL 114,needed help with set-up,0,0
MS 2173,couldn't log in using their id,0,0
WI 523,log in request,0,0
MS 2173,didn't know how to access wireless mic,0,0
BF 215,log in request,0,0
MS 2173,called us back wanting us to log them back in so they could put the mic away,0,0
SS 1078,"""hi! i already got how to do this here (sic). thank you""",0,0
OI 4422,no image from room pc ,0,1
OI 2279,"""can you turn the projector on?""",0,0
SK 114,"""i might call you back later... i think i can fix this""",0,0
SK 114,"instructor claims the projector is not on

i remotely disabled & re-enabled: at my end it shows as ""on"" in roomview, but red light is not on in xpanel.

i got them to unplug & replug hdmi conenction, and set to duplicate (it's a windows device). but no change: instructor still claims projector is not on.

instructor is good-natured, but says this happens every week, ""is there anything we can do to prevent this from happening going forward""",1,1
MB 128,no network connection,0,0
CR 404,"instructor says he can't get image up. says that pressing the hdmi button in the room does nothing.

we've lost legacy e-control panel access via ie, so we can't simply switch him to hdmi remotely.",0,1
MY 150,"""in the middle of a lecture, can you send someone please""",1,1
Victor,victor calling to say that subway is shutdown so he's running late (shuttle buses),0,0
OI 5150,projector turned off/turned on,0,0
MY 430,login,0,0
BA B026,calling you prematurely - will call back if there's any further issue,0,0
SS 1069,no image,0,0
MY 317,"trying to get zoom working via room pc. instructor can't hear zoom participants, they can't hear instructor.",0,0
OI G162,"""is there anyway to turn off the lights that light up the stage and the room?""",0,0
MS 2158,"""it was very laggy we're ok now""",0,0
OI 2198,error,0,0
BL 113,"image keeps dropping, then monitor not responding to on/off commands",0,1
GB 220,projector not turning on.,0,0
SF 3201,"first time using system. tried to walk them through, but they don't know anything about their device other than it's mac and ""these questions aren't for me""",0,1
SF 3201,they figured it out,0,0
UC A101,"no image, only two monitors coming on. ",1,1
MS 4279,"""i ordered tech help for this class, but no one has shown up?""",0,0
WO 25,"projector controls not working, needs a remote",0,1
MS 3154,no image from desktop pc,0,0
SS 2127,"two broken dongles in the room, but good for now. just letting us know",1,0
BL 113,"follow-up to previous call from an hour ago. instructor says tv still keeps turning off again, and she's in there for two more hours.",1,1
MY 420,"""the browser wasn't working, but now the room pc has come on.

and the mouse isn't working, but oh wait, now it is.""",0,0
SK 346,"""can you please turn on the projector""",0,0
MY 420,"audio very low from desktop computer - volumes all up, output set to crestron",0,1
OI 4420,tsjr turned off for no reason,0,0
MY 320,no image,0,0
MY 320,"sorry to call again, how can i get the sound to come out the in-room speakers?",0,0
OI 4422,image dropped again. asked for us to bring a new adapter (kyle previously diagnosed that might be the issue),0,1
SS 2102,"they're having trouble getting an image up from their windows device

projector is working fine with room pc, they sound not very technically-savvy

i tried windows-p with them, and they said ""it's not letting me select duplicate""",1,1
MY 440,some displays aren't turning on,0,1
LM 155,"""sorry, that was my butt""",0,0
OI 4422,"""the screens aren't working in here""",0,1
MS 3153,calling to see if occs is recording,0,0
HS 618,"requesting minidp adapter, says the one attached in room is not working for her

she says we delivered one to the room for her a couple of weeks ago, when she was having the same problem. but now it's no longer there - i guess we picked it up afterward?",1,1
BL 313,batteries in wl mic almost dead. ,0,1
OI 5170,no audio,0,1
BA 1170,already solved,0,0
MY 330,login,0,0
MS 2170,"keeps dropping image, both hdmi 1 and 2",0,1
OI 5250,batteries for handheld mic,0,1
SS 1085,"no image, prof says adapter looks worse for wear",0,1
SS 1085,following up,0,0
HS 108,lowering the screen and logging in help,0,0
SS 2118,"""can you turn on the microphone?""",0,0
MC 102,desktop pc not working,0,0
LM 159,having trouble with the handheld mic,1,1
SS 2125,can you turn projector on,0,0
OI 5150,no image,0,1
SS 1085,letting us they are going to leave the borrowed cables in the class,0,1
BT 101,no network connection,0,0
OI 2295,projector not turning on,0,1
UC A101,touchscreen frozen,0,1
MY 380,one of the monitors isn't turning on,0,1
MC 254,microphone batteries almost dead,0,0
RW 140,projector not turning on,0,0
UC A101,audio not playing,0,0
WB 119,login,0,0
MP 102,butt-dial,0,0
BA 2145,no image,0,0
OI 11200,resolved,0,0
SS 2119,no image,1,1
MP 103,batteries,0,1
UC 261,no audio ,0,1
MR 6,tm restart,0,0
BA 2159,projector not displaying,0,0
MS 3153,batteries,0,1
OI 2214,calling to confirm assist today,1,0
MY 150,jon testing,0,0
WW 120,log in troubles,0,0
MB 128,batteries,0,1
SK 720,network log in issues,0,0
MY 360B,login,0,0
UC 85,came into room and tsjr was unplugged. plugged it in but needs enabling,0,0
SK 702,resolved,0,0
SF 1105,can't see ipad image,0,0
SS 1087,ta needed general help getting going with usb key,0,0
SS 1087,"unfamiliar with windows, and didn't know how to access files on usb",0,0
HS 610,class is over but main projector shut down and wouldn't start up again for 20 mins. the small ,1,0
UC 67,"uc 67 is having troubles connecting their laptop.  i'm having trouble communicating with them (can't hear them well, sound is muffled). ",1,1
HS 618,monitor won't turn on,0,1
GB 303,already solved,0,0
AB 107,already solved,0,0
BA 2145 ,"showing up on touchscreen, but not showing up on screens",0,0
ES 4001, the dongle in es 4001 is apparently failing.,1,1
OI 2295,says intercom button is not working and prof is confused why there is a projector on the table,0,0
OI 8280,already solved,0,0
IN 204,hdmi cable not working,0,0
BA B026,already solved,0,0
BA 2179,can't turn on tv,0,0
SS 2106,wanted to know how to change the contrast/brightness of the screen,0,1
BA B024,log in,0,0
UC 152,projector not on,0,0
HS 106,guest presenter is looking for a charger for the hp spectre,0,0
BA 1160,out of hours call,0,0
HS 100,how do i get the screen down,0,0
SS 2125,enable,0,0
MR 6,tm w operator can't pick up calls.,0,0
SS 2106,no audio - mac,0,0
SS 1070,"""please turn on the projector""",0,0
MR 6 ,tm e crash,0,0
BF 315,can't find usb-c adapter,0,0
OI 8201,zoom audio isn't coming through the room.,0,0
UC A101,no image ,0,1
OI 8180,projector won't turn off with teaching station controls.,0,1
SS 2111,enable,0,0
SK 720,"audio really low in room. correct input selected, said volumes are maxed",0,1
GB 304,image dropping consistently from ipad,0,1
SS 2105,no laptop hdmi image.,0,0
UC 53,not letting them login,0,0
BL 114,projector won't turn on with teaching station controls.,0,1
MC 252,battery dead ,0,0
LM 159,projector not pointing at screen,0,1
OI 8280,turn on the projector. they figured calling the phone would be faster than using the intercom. (called from 647-466-8047),0,0
MS 2158,put in last set of batteries,1,0
GB 304,no laptop hdmi cable with usb-c dongle.,0,1
SS 1073,can't connect to projector,0,0
HS 705,projector not turning on,0,1
KP 108,how do you turn on projector,0,0
KP 113,projector isn't turning on.,0,0
BL 507,no laptop audio through hdmi.,0,0
GB 244,send to projector won't turn the projector on.,0,0
RL 14190,re-enable,0,0
MR 6,picked up a call and then it disappeared.,0,0
UC 161,login,0,0
MR 6,tm w operator not ringing.,0,0
BA 1220,login authentication failed.,0,0
HS 610,"""we usually just plug in here, and it works fine, but we're not able to get our image up from our laptop today""",0,0
OI 2227,"showing as disconnected in roomview, fusion, and talkmaster",1,0
MY 150,hdmi doesn't show up anymore. was just working.,0,1
PB B150,"hdmi image with usb-c dongle showed up for a second then went away. user tried unplugging and plugging in again, and both hdmi cables, but nothing worked.",0,1
MY 490,log in request,0,0
WB 119,figured it out.,0,0
SS 2105,no laptop hdmi image. blue screen.,0,0
SS 2105,figured it out,0,0
BA 2145,log in request,0,0
UC 152,wanted help w a specific note program w mac,0,0
OI 4410,log in request,0,0
MY 350,screens weren't projected,0,0
MY 370,log in request,0,0
SK 548,issues connecting to projector. blue screen.,0,0
MR 6,"talkmaster east pc - all audio was ""static-y"" and distorted",0,0
WB 116,"""we're good now, thank you""",0,0
MY 370,student displays not working,0,0
MR 6,talkmaster west pc - microphone stopped working,0,0
BA 2159,"instructor has an old thinkpad with a port that's either ""d++ or vga"" (his words)

says we've brought him an adapter in the past, which worked for him",1,1
MY 360B,lights not on at left hand side of room from looking at the teaching station. light presets set to 100%. tried switches on the wall to no avail.,0,0
LM 162,image not coming up,0,0
CR 403,"""it just worked, i'm so sorry""",0,0
MS 2170,batteries,0,1
FE 135,having trouble getting her image up.,1,0
MY 150,ipad connection,0,0
TF 200,"""the lights are on, but no matter which button i press, i can't get the projector to turn on""",0,0
MY 150,resolved,0,0
